#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
Otu1	Tygarrup javanicus voucher ZFMK-TIS-1428 cytochrome oxidase subunit 1 gene, partial cds; mitochondrial	KM491598	863634	75.342	94	6.61e-48	196	Genbank	Eukaryota / Arthropoda / Chilopoda / Geophilomorpha / Mecistocephalidae / Tygarrup / Tygarrup javanicus
Otu1	Furcilla delicatula voucher USNM:ENT:00914272 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KT733313	1717497	75.084	95	3.42e-45	187	Genbank	Eukaryota / Arthropoda / Insecta / Diptera / Asilidae / Furcilla / Furcilla delicatula
Otu1	Mecistocephalus multidentatus mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, specimen_voucher: SYSU:Chilo-010	AB610774	980231	74.828	92	4.17e-44	183	Genbank	Eukaryota / Arthropoda / Chilopoda / Geophilomorpha / Mecistocephalidae / Mecistocephalus / Mecistocephalus multidentatus
Otu1	Cynoglossus oligolepis isolate FBBGC006-11 cytochrome c oxidase subunit 1 (cox1) gene, partial cds; mitochondrial	JQ681522	366921	73.397	99	1.46e-43	181	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Cynoglossidae / Cynoglossus / Cynoglossus oligolepis
Otu1	Ethmostigmus rubripes cytochrome oxidase subunit I gene, partial cds; mitochondrial gene for mitochondrial product	AF370836	62613	73.898	94	1.46e-43	181	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Ethmostigmus / Ethmostigmus rubripes
Otu1	Psacasta exanthematica cytochrome c oxidase subunit 1 (CO1) gene, partial cds; mitochondrial	MF162983	2080400	72.816	99	5.08e-43	179	Genbank	Eukaryota / Arthropoda / Insecta / Hemiptera / Scutelleridae / Psacasta / Psacasta exanthematica
Otu1	Mecistocephalus multidentatus mitochondrial coi gene for cytochrome c oxidase subunit I, partial cds, specimen_voucher: SYSU:Chilo-147	AB672610	980231	74.483	92	5.08e-43	179	Genbank	Eukaryota / Arthropoda / Chilopoda / Geophilomorpha / Mecistocephalidae / Mecistocephalus / Mecistocephalus multidentatus
Otu1	Scolopendra cingulata isolate Syros1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688435	41365	75.000	89	5.08e-43	179	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Koufonisi cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688413	41365	75.000	89	5.08e-43	179	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Mecistocephalus multidentatus mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, specimen_voucher: SYSU:Chilo-083	AB610775	980231	74.483	92	5.08e-43	179	Genbank	Eukaryota / Arthropoda / Chilopoda / Geophilomorpha / Mecistocephalidae / Mecistocephalus / Mecistocephalus multidentatus
Otu1	Scolopendra cingulata voucher GBOL02755 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KU497147	41365	74.403	94	1.77e-42	178	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-10 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812076	41365	75.000	90	1.77e-42	178	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-07 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812073	41365	75.000	90	1.77e-42	178	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-04 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812070	41365	74.403	94	1.77e-42	178	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Arabella iricolor voucher OUC POLYP13 0810 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	GU362693	65494	74.386	91	1.77e-42	178	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Oenonidae / Arabella / Arabella iricolor
Otu1	Scolopendra cingulata voucher ZFMK-Sco-08 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812074	41365	74.061	94	6.19e-42	176	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-02 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812068	41365	74.061	94	6.19e-42	176	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Cynoglossus oligolepis isolate FBBGC005-11 cytochrome c oxidase subunit 1 (cox1) gene, partial cds; mitochondrial	JQ681523	366921	73.077	99	6.19e-42	176	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Cynoglossidae / Cynoglossus / Cynoglossus oligolepis
Otu1	Scolopendra cingulata isolate Patmos1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688428	41365	75.000	90	6.19e-42	176	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Polychaeta sp. NB-Po306 cytochrome oxidase subunit 1 gene, partial cds; mitochondrial	KJ736180	1615292	76.151	77	2.16e-41	174	Genbank	Eukaryota / Annelida / Polychaeta / unknown order / unknown family / unknown genus / Polychaeta sp. NB-Po306
Otu1	Scolopendra cingulata voucher ZFMK-Sco-06 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812072	41365	74.820	89	2.16e-41	174	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-03 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812069	41365	74.820	89	2.16e-41	174	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Limnos cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688417	41365	75.357	89	2.16e-41	174	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Alpheidae sp. BOLD:ACR9016 voucher MNHN-IU-2010-5204 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KP759366	1616708	73.038	95	7.54e-41	172	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Alpheidae / unknown genus / Alpheidae sp. BOLD:ACR9016
Otu1	Scolopendra cingulata voucher ZFMK-Sco-05 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812071	41365	74.820	89	7.54e-41	172	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-01 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812067	41365	74.820	89	7.54e-41	172	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Mykonos cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688419	41365	74.286	89	7.54e-41	172	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Chios cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688405	41365	73.477	90	7.54e-41	172	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Andros cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688399	41365	74.368	89	7.54e-41	172	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-11 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812086	41365	73.381	89	2.63e-40	170	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-12 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812084	41365	73.810	94	2.63e-40	170	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-09 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812075	41365	74.460	89	2.63e-40	170	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Paros cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688427	41365	74.286	89	2.63e-40	170	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Naxos cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688420	41365	74.286	89	2.63e-40	170	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Antikythira1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688400	41365	74.368	89	2.63e-40	170	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Lepidopa venusta cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	MF490050	2036710	73.288	94	9.19e-40	168	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Albuneidae / Lepidopa / Lepidopa venusta
Otu1	Strigamia acuminata mitochondrial COI gene for cytochrome oxidase subunit 1, specimen voucher PD1311	LT630324	1255758	73.026	97	9.19e-40	168	Genbank	Eukaryota / Arthropoda / Chilopoda / Geophilomorpha / Linotaeniidae / Strigamia / Strigamia acuminata
Otu1	Scolopendra cingulata isolate Kythira cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688414	41365	73.835	89	9.19e-40	168	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Folegandros cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688407	41365	73.929	89	9.19e-40	168	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Loliolus sp. Ba01 isolate U.spBa01 cytochrome oxidase subunit I gene, partial cds; mitochondrial	KY019111	1986002	72.168	99	3.21e-39	167	Genbank	Eukaryota / Mollusca / Cephalopoda / Teuthida / Loliginidae / Loliolus / Loliolus sp. Ba01
Otu1	Heligmonevra sp. USNM ENT 00914062 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KT733189	1718413	73.129	95	3.21e-39	167	Genbank	Eukaryota / Arthropoda / Insecta / Diptera / Asilidae / Heligmonevra / Heligmonevra sp. USNM ENT 00914062
Otu1	Scolopendra cingulata voucher ZFMK-MYR-01559 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812077	41365	75.000	86	3.21e-39	167	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Tilos cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688438	41365	74.231	84	3.21e-39	167	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Nisyros7 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688426	41365	73.741	89	3.21e-39	167	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Primolius maracana voucher AI-COESP cytochrome oxidase subunit 1 (COX-1) gene, partial cds; mitochondrial	KR018000	178894	72.638	98	1.12e-38	165	Genbank	Eukaryota / Chordata / Aves / Psittaciformes / Psittacidae / Primolius / Primolius maracana
Otu1	Limotettix urnura voucher CNC#HEM404477 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KR031985	1656595	73.551	88	1.12e-38	165	Genbank	Eukaryota / Arthropoda / Insecta / Hemiptera / Cicadellidae / Limotettix / Limotettix urnura
Otu1	Scolopendra cingulata isolate Salamina cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688432	41365	73.022	89	1.12e-38	165	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Evvoia cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688406	41365	74.231	84	1.12e-38	165	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Seychellum alluaudi isolate Fregate3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	JF799301	168678	73.606	87	1.12e-38	165	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Potamonautidae / Seychellum / Seychellum alluaudi
Otu1	Lumbricidae sp. DPEW54598 voucher EW-SJ-407 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	GU014048	683539	72.241	96	1.12e-38	165	Genbank	Eukaryota / Annelida / Clitellata / Haplotaxida / Lumbricidae / unknown genus / Lumbricidae sp. DPEW54598
